,Date,Open,High,Low,Close,Adj Close,Volume
27,2016-07-08,12.15,12.68,12.03,12.52,10.513857000000002,19420600.0
28,2016-07-15,12.55,12.68,12.35,12.59,10.572639,15934700.0
29,2016-07-22,12.58,12.72,12.1,12.25,10.28712,15910900.0
30,2016-07-29,12.22,12.59,12.07,12.41,10.514986,23116800.0
31,2016-08-05,12.44,12.52,12.03,12.24,10.370946,20328000.0
32,2016-08-12,12.24,12.5,11.89,12.5,10.591244,24359100.0
33,2016-08-19,12.4,12.41,12.02,12.11,10.260797,17031500.0
34,2016-08-26,12.16,12.31,11.85,12.01,10.176067,23477300.0
35,2016-09-02,12.04,13.08,12.04,12.95,10.972529,25276600.0
36,2016-09-09,12.79,12.82,12.22,12.55,10.633609,27719500.0
37,2016-09-16,12.48,13.22,12.35,13.19,11.175882000000001,21708600.0
38,2016-09-23,13.13,13.32,12.8,12.9,10.930164,23097600.0
39,2016-09-30,12.91,13.01,11.6,11.66,9.879512,46874300.0
40,2016-10-07,11.73,11.85,11.45,11.73,9.938823,25752400.0
41,2016-10-14,11.72,12.26,11.55,12.05,10.209959,26519900.0
42,2016-10-21,11.94,12.14,11.76,11.82,10.015081,19273200.0
43,2016-10-28,11.72,11.93,11.25,11.75,9.955769,33021600.0
44,2016-11-04,11.52,12.48,11.25,11.47,9.809818,35142800.0
45,2016-11-11,11.53,11.57,11.08,11.43,9.775606,29641900.0
46,2016-11-18,11.42,11.67,11.25,11.34,9.698634,21920100.0
47,2016-11-25,11.34,12.01,10.98,11.03,9.433504,25803700.0
48,2016-12-02,11.09,11.92,11.06,11.84,10.126261999999999,27059400.0
49,2016-12-09,11.85,12.47,11.7,11.8,10.092053,25869400.0
50,2016-12-16,11.81,12.1,11.66,11.78,10.074948,26543500.0
51,2016-12-23,11.83,11.92,11.63,11.7,10.006527,10900600.0
52,2016-12-30,11.73,11.79,11.26,11.41,9.758502,21654600.0
53,2017-01-06,11.4,11.9,11.29,11.58,9.903896000000001,27121000.0
54,2017-01-13,11.61,12.06,11.57,11.73,10.032185,14700100.0
55,2017-01-20,11.75,11.84,11.19,11.22,9.596003999999999,43115300.0
56,2017-01-27,11.3,11.63,11.13,11.32,9.681529,30704000.0
57,2017-02-03,11.38,11.63,11.23,11.47,9.914176,21570200.0
58,2017-02-10,11.47,11.73,11.35,11.65,10.069761,18555900.0
59,2017-02-17,11.64,11.85,11.25,11.75,10.156198,20582900.0
60,2017-02-24,11.77,11.93,11.1,11.63,10.052474,43504600.0
61,2017-03-03,11.64,11.65,11.04,11.06,9.559791,28562600.0
62,2017-03-10,11.1,11.4,10.93,11.3,9.767237,19466100.0
63,2017-03-17,11.36,11.48,11.1,11.18,9.663513,24710600.0
64,2017-03-24,11.18,11.39,11.03,11.08,9.577077000000001,23602800.0
65,2017-03-31,11.11,11.32,11.06,11.16,9.646227,41726300.0
66,2017-04-07,11.18,11.41,11.01,11.36,9.819096,36066100.0
67,2017-04-14,11.38,11.47,11.25,11.42,9.870957,21335900.0
68,2017-04-21,11.38,11.62,11.23,11.29,9.758594,34246300.0
69,2017-04-28,11.3,11.41,11.05,11.09,9.687249000000001,25625100.0
70,2017-05-05,11.14,11.7,10.95,11.47,10.019181,30615400.0
71,2017-05-12,11.5,11.51,10.98,11.18,9.765863000000001,22498800.0
